E,N,y,x
2744312.67,1246279.16,744312,246279.52
2747790.4,1244488.84,747789.76,244489.22
2751960,1241548.03,751959.47,241548.35
2756660.61,1242955.6,756660.12,242955.87
2754807.4,1238972.81,754806.85,238973.2
2743296.6,1242891.51,743295.92,242891.89
2746726.92,1241083.18,746726.32,241083.49
2749178.79,1238761.93,749178.17,238762.25
2755162.49,1235440.93,755161.98,235441.12
2743008.91,1239565.53,743008.25,239565.84
2748974.09,1233543.92,748973.4,233544.24
2620523.277,1215341.199,620522.91,215340.96
2623174.789,1211688.87,623174.43,211688.75
2625040.396,1215419.452,625039.97,215419.28
2627276.454,1214387.449,627276.03,214387.34
2626259.01,1210601.544,626258.6,210601.46
2633140.163,1210082.575,633139.69,210082.54
2619544.66,1213708.37,619544.3,213708.26
2618551.587,1210245.556,618551.27,210245.47
2622513.987,1208409.544,622513.63,208409.46
2629447.13,1205771.4,629446.73,205771.36
2634327.467,1205979.049,634326.96,205979.01
2638130.87,1205962.23,638130.39,205962.17
2615558.962,1207670.66,615558.68,207670.6
2618110.952,1205405.194,618110.65,205405.18
2619930.405,1206313.883,619930.11,206313.88
2624021.439,1205212.536,624021.09,205212.53
2619703.747,1203766.377,619703.46,203766.41
2621997.002,1203378.856,621996.69,203378.84
2626442.348,1202364.968,626441.97,202364.96
2633390.714,1201139.419,633390.27,201139.41
2636937.635,1204341.443,636937.15,204341.43
2639488.188,1199848.879,639487.67,199848.88
2635845.882,1200722.646,635845.42,200722.65
2616912.467,1201473.264,616912.21,201473.27
2623787.73,1197990.51,623787.44,197990.53
2619606.444,1197916.693,619606.18,197916.71
2629310.238,1197355.373,629309.88,197355.4
2633676.084,1195416.28,633675.69,195416.31
2620256.511,1194215.679,620256.32,194215.72
2631827.378,1192270.146,631827.01,192270.13
2626510.941,1194525.331,626510.62,194525.36
2628294.579,1191289.725,628294.28,191289.77
2623523.283,1192756.178,623523.1,192756.23
2626792.617,1196866.011,626792.32,196866
2619202.257,1192712.486,619202.14,192712.55
2618142.983,1189612.006,618142.84,189612.03
2623706.479,1190020.364,623706.25,190020.4
2616776.562,1185992.739,616776.5,185992.75
2620493.361,1185988.677,620493.22,185988.74
2622947.758,1187999.987,622947.55,188000.05
2625203.41,1187673.42,625203.2,187673.5
2627686.547,1189587.512,627686.3,189587.57
2627358.72,1186181.97,627358.45,186182.05
2630571.385,1190054.331,630571.08,190054.39
2631188.018,1183606.817,631187.72,183606.89
2637739.166,1184009.511,637738.8,184009.61
2632522.882,1186439.382,632522.56,186439.44
2624279.583,1184490.153,624279.41,184490.24
2626271.554,1185136.122,626271.36,185136.23
2631459.142,1181598.434,631458.9,181598.53
2618126.375,1200869.869,618126.15,200869.89
2633846.63,1189171.344,633846.2,189171.35
2583655.5,1236117.816,583655.21,236117.34
2581585.681,1233604.052,581585.41,233603.53
2586735.29,1234630.359,586734.94,234629.87
2565903.287,1223916.019,565903.19,223915.26
2556873.608,1222640.827,556873.7,222640.07
2557984.66,1220028.812,557984.75,220028.06
2581080.875,1237910.058,581080.53,237909.51
2585805.406,1237018.584,585805.06,237018.05
2592136.8,1237953.31,592136.5,237952.85
2593339.629,1236427.919,593339.26,236427.47
2593809.28,1235708.925,593808.93,235708.43
2591800.231,1231608.443,591799.95,231607.93
2599251.58,1239585.547,599251.18,239585.14
2595939.037,1236801.066,595938.63,236800.7
2598229.94,1235660.251,598229.51,235659.86
2600935.7,1237410.046,600935.29,237409.68
2603402.196,1238379.788,603401.78,238379.47
2586564.601,1231765.081,586564.32,231764.49
2587540.1,1229589.75,587539.8,229589.19
2589967.325,1228029.387,589966.98,228028.83
2592800.424,1228413.649,592800.07,228413.18
2582454.79,1231582.45,582454.53,231581.92
2584465.097,1232516.981,584464.78,232516.43
2580001.897,1234443.052,580001.55,234442.49
2575306.135,1230561.042,575305.9,230560.43
2579063.486,1230655.962,579063.26,230655.36
2577458.179,1229221.608,577457.91,229220.99
2580604.344,1229952.689,580604.1,229952.11
2578956.302,1227476.375,578956.03,227475.78
2578204.529,1225937.459,578204.27,225936.85
2573295.407,1225148.311,573295.21,225147.62
2574269.162,1229659.348,574268.93,229658.75
2570996.182,1227364.4,570996.02,227363.76
2572870.343,1226522.663,572870.12,226521.97
2573680.446,1223559.233,573680.27,223558.56
2580859.587,1225418.397,580859.43,225417.76
2567737.008,1225973.301,567736.85,225972.61
2568568.671,1222992.61,568568.57,222991.86
2571241.832,1224664.067,571241.77,224663.34
2583697.035,1212730.242,583696.87,212729.86
2585984.465,1212389.972,585984.33,212389.58
2586014.441,1214665.719,586014.32,214665.35
2588663.366,1214520.559,588663.15,214520.17
2559669.468,1225315.765,559669.41,225315
2564103.163,1227284.538,564103.05,227283.79
2565206.019,1218592.311,565205.94,218591.61
2618902.993,1149545.2,618903.19,149545.41
2617298.58,1155007.376,617298.73,155007.59
2617726.543,1150219.769,617726.7,150219.96
2561128.954,1217690.423,561128.98,217689.77
2612885.165,1151835.192,612885.49,151835.23
2617543.005,1148528.994,617543.23,148529.15
2573796.829,1218489.731,573796.68,218489.13
2578066.062,1218776.175,578065.93,218775.58
2575468.963,1222035.837,575468.72,222035.23
2574614.556,1216313.285,574614.54,216312.65
2572432.155,1216375.212,572432.1,216374.66
2577711.93,1213338.839,577711.83,213338.36
2581883.594,1218625.697,581883.38,218625.17
2574941.946,1213206.945,574941.92,213206.41
2574084.383,1210918.753,574084.35,210918.28
2582253.788,1224224.86,582253.57,224224.33
2580713.747,1221539.572,580713.58,221539.01
2585406.238,1224866.064,585406.05,224865.45
2583902.827,1225367.592,583902.69,225367.02
2583593.687,1226799.24,583593.56,226798.71
2584466.954,1220005.788,584466.77,220005.3
2586504.001,1224295.662,586503.81,224295.14
2587734.876,1226801.33,587734.72,226800.8
2587185.096,1222322.032,587184.87,222321.49
2585424.744,1226576.365,585424.61,226575.81
2588347.323,1221714.664,588347.07,221714.17
2592432.58,1224120.475,592432.28,224119.97
2592557.697,1226345.494,592557.36,226345.06
2590286.85,1221371.303,590286.57,221370.89
2593487.327,1222419.251,593487.01,222418.86
2597887.457,1222569.188,597887.13,222568.76
2593701.556,1221007.008,593701.29,221006.62
2597016.607,1218803.25,597016.3,218802.9
2591303.191,1219744.58,591302.94,219744.18
2590311.198,1217827.173,590310.95,217826.77
2586643.871,1220193.51,586643.67,220192.98
2583957.3,1217245.37,583957.11,217244.88
2587535.643,1217007.542,587535.48,217007.09
2593721.283,1216582.837,593721.02,216582.48
2592470.401,1214023.852,592470.22,214023.52
2580890.013,1211501.292,580889.88,211500.85
2573364.537,1206805.515,573364.52,206805.2
2578701.53,1204593.048,578701.45,204592.81
2582297.092,1209293.375,582296.96,209293.05
2586926.097,1207685.731,586925.98,207685.42
2589384.102,1206669.058,589383.97,206668.77
2589726.836,1209048.512,589726.69,209048.25
2591219.96,1209895.25,591219.72,209894.98
2594819.013,1209789.871,594818.85,209789.63
2597234.618,1212121.398,597234.45,212121.18
2589374.246,1202189.623,589374.17,202189.48
2592551.326,1205233.98,592551.19,205233.78
2592381.25,1208401.06,592381.05,208400.81
